,store_id,store_name,tel,address,latitude,longitude,category,store_image,price
0,38,010수산,02-3661-3739,서울특별시 강서구 등촌동 671-3,37.5591,126.842,횟집,https://img.siksinhot.com/place/1450702633773486.jpg?w=280&h=224&c=Y,
1,49,03수제비칼국수,02-595-6686,서울특별시 서초구 방배동 768-2,37.495087,126.985301,수제비,https://img.siksinhot.com/place/1465382548205118.png?w=280&h=224&c=Y,
2,50,03인앤아웃,02-6369-1672,서울특별시 서대문구 연희동 126-2,37.568857,126.928738,샌드위치|터키샌드위치,https://img.siksinhot.com/place/1433110960114838.jpg?w=280&h=224&c=Y,12900.0
3,92,10 꼬르소꼬모 카페,02-547-3010,서울특별시 강남구 청담동 79  Trinity 빌딩 지하 1층,37.526917,127.042419,cafe|브런치,https://img.siksinhot.com/place/1472614171360339.jpg?w=280&h=224&c=Y,
4,110,100년설렁탕,02-742-5588,서울특별시 성북구 삼선동2가 38,37.588057,127.00990300000001,설렁탕|매운돼지갈비,https://img.siksinhot.com/place/1545977267787000.jpg?w=280&h=224&c=Y,
5,129,100억곱창,02-2601-1357,서울특별시 강서구 화곡6동 986-22,37.549865999999994,126.847604,치즈곱창|곱창,https://img.siksinhot.com/place/1352348063984952.JPG?w=280&h=224&c=Y,
6,131,100족발,02-522-9293,서울특별시 동작구 사당동 1041-28 1층,37.47765,126.984108,족발|보쌈,https://img.siksinhot.com/place/1547448289355051.JPG?w=280&h=224&c=Y,37000.0
7,134,100퍼센트 자연산 산꼼장어,,서울특별시 성북구 삼선동1가 75,37.587769,127.008696,산꼼장어,https://img.siksinhot.com/place/1462327911132988.png?w=280&h=224&c=Y,20000.0
8,140,100회,02-461-7506,서울특별시 성동구 성수동1가 72-100,37.540695,127.04862299999999,횟집,https://img.siksinhot.com/place/1451949716274200.jpg?w=280&h=224&c=Y,28000.0
9,149,101번지 남산돈까스,02-777-7929,서울특별시 중구 남산동2가 49-24,37.556959,126.985722,왕돈까스|돈까스,https://img.siksinhot.com/place/1527163945608148.jpg?w=280&h=224&c=Y,9800.0
10,150,101번지남산돈까스,,서울특별시 서초구 반포동 19-3,37.50450900000001,127.004733,돈까스|매운돈까스,https://img.siksinhot.com/place/1527163945608148.jpg?w=280&h=224&c=Y,
